Year,Statistic,Name,Team,Value
1885,Strikeouts,John Clarkson,Chicago,308.0
1885,Winning Percentage,Mickey Welch,New York,0.8
1885,Wins,John Clarkson,Chicago,53.0
2022,Complete Games,Sandy Alcantara,Miami Marlins,6.0
2022,ERA,Julio Urías,Los Angeles Dodgers,2.16
2022,Games,John Brebbia,San Francisco Giants,76.0
2022,Saves,Kenley Jansen,Atlanta Braves,41.0
2022,Shutouts,Sandy Alcantara,Miami Marlins,1.0
2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0
2022,Winning Percentage,Kyle Wright,Atlanta Braves,0.808
2022,Wins,Kyle Wright,Atlanta Braves,21.0
1926,Complete Games,Carl Mays,Cincinnati,24.0
1926,ERA,Ray Kremer,Pittsburgh,2.61
1926,Games,Jack Scott,New York,50.0
1926,Saves,Chick Davies,New York,6.0
1926,Shutouts,Pete Donohue,Cincinnati,5.0
1926,Strikeouts,Dazzy Vance,Brooklyn,184.0
1926,Winning Percentage,Ray Kremer,Pittsburgh,0.769
1926,Wins,Pete Donohue,Cincinnati,20.0
1932,Complete Games,Red Lucas,Cincinnati,28.0
1932,ERA,Lon Warneke,Chicago,2.37
1932,Games,Larry French,Pittsburgh,47.0
1932,Saves,Jack Quinn,Brooklyn,8.0
1932,Shutouts,Dizzy Dean,St. Louis,4.0
1932,Strikeouts,Dizzy Dean,St. Louis,191.0
1932,Winning Percentage,Lon Warneke,Chicago,0.786
1932,Wins,Lon Warneke,Chicago,22.0
1936,Complete Games,Dizzy Dean,St. Louis,28.0
1936,ERA,Carl Hubbell,New York,2.31
1936,Games,Dizzy Dean,St. Louis,51.0
1936,Saves,Dizzy Dean,St. Louis,11.0
1936,Shutouts,Cy Blanton,Pittsburgh,4.0
1936,Strikeouts,Van Mungo,Brooklyn,238.0
1936,Winning Percentage,Carl Hubbell,New York,0.813
1936,Wins,Carl Hubbell,New York,26.0
1922,Complete Games,Wilbur Cooper,Pittsburgh,27.0
1922,ERA,Phil Douglas,New York,2.63
1922,Games,Lou North,St. Louis,53.0
1922,Saves,Claude Jonnard,New York,5.0
1922,Shutouts,Johnny Morrison,Pittsburgh,5.0
1922,Strikeouts,Dazzy Vance,Brooklyn,134.0
1922,Winning Percentage,Pete Donohue,Cincinnati,0.667
1922,Wins,Eppa Rixey,Cincinnati,25.0
1881,Complete Games,Jim McCormick,Cleveland,57.0
1881,ERA,Stump Wiedman,Detroit,1.8
1881,Games,Jim Whitney,Boston,66.0
1881,Saves,Bobby Mathews,Providence,2.0
1881,Shutouts,George Derby,Detroit,9.0
1881,Strikeouts,George Derby,Detroit,212.0
1881,Winning Percentage,Old Hoss Radbourn,Providence,0.694
1881,Wins,Larry Corcoran,Chicago,31.0
1895,Complete Games,Ted Breitenstein,St. Louis,46.0
1895,ERA,Al Maul,Washington,2.45
1895,Games,Pink Hawley,Pittsburgh,56.0
1895,Saves,Ernie Beam,Philadelphia,3.0
1895,Shutouts,Pink Hawley,Pittsburgh,4.0
1895,Strikeouts,Amos Rusie,New York,201.0
1895,Winning Percentage,Bill Hoffer,Baltimore,0.838
1895,Wins,Cy Young,Cleveland,35.0
